id,frase,categorias,nivel_gravedad,descripcion
99,cara de mono,burla física,20,Burla por apariencia
100,cara de perro,burla física,20,Burla por apariencia
101,descerebrado,insulto cognitivo,20,Burla a la inteligencia
102,cara dura,burla carácter,20,Burla por atrevimiento
103,burro para las matemáticas,burla académica,20,Burla académica específica
104,torpe para leer,burla académica,20,Burla académica específica
105,lento para pensar,burla cognitiva,20,Burla a reactividad mental
106,nerd de laboratorio,burla académica,20,Burla académica
107,pochoclo,burla comportamiento,20,Burla por comportamiento
108,copión,burla académica,20,Burla académica (trampa)
109,amargado,burla actitud,20,Burla por actitud negativa
110,victimista,burla actitud,20,Burla por actitud
111,dramático,burla comportamiento,20,Burla leve
112,chismoso,burla social,20,Burla por hablar mal de otros
113,tiquismiquis,burla comportamiento,20,Burla por fastidios menores
114,pelmazo,burla comportamiento,20,Burla por ser molestoso
115,plasta,burla comportamiento,20,Burla por ser pesado
